season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,commissioners_cup_final
1997,1997-07-29,0,0,post,Los Angeles Sparks,Las Vegas Aces,LAS,LVA,1504.84130358682,1385.04758040245,0.759530117332265,0.240469882667735,91,69,1515.0064412427,1374.88244274657,0
1997,1997-07-30,0,0,post,Cleveland Rockers,Phoenix Mercury,CLE,PHO,1541.29187758904,1523.555678645,0.637057335369137,0.362942664630863,79,67,1552.25951080852,1512.58804542551,0
1997,1997-07-31,0,0,post,Charlotte Sting,Sacramento Monarchs,CHA,SAC,1517.05345874425,1386.47619711665,0.770684475697331,0.229315524302669,85,61,1527.28654686103,1376.24310899986,0
1997,1997-07-31,0,0,post,Los Angeles Sparks,Houston Comets,LAS,HOU,1515.0064412427,1573.12029521585,0.531455100624276,0.468544899375724,57,81,1486.80146480281,1601.32527165574,0
1997,1997-08-01,0,0,post,Cleveland Rockers,Sacramento Monarchs,CLE,SAC,1552.25951080852,1376.24310899986,0.8136265280815,0.1863734719185,72,51,1559.60008729577,1368.90253251261,0
1997,1997-08-01,0,0,post,New York Liberty,Phoenix Mercury,NYL,PHO,1568.61360869995,1512.58804542551,0.686331937933095,0.313668062066905,80,70,1576.83339493282,1504.36825919265,0
1997,1997-08-01,0,0,post,Las Vegas Aces,Houston Comets,LVA,HOU,1374.88244274657,1601.32527165574,0.300904864121471,0.699095135878529,74,63,1399.29710117582,1576.91061322648,0
1997,1997-08-02,0,0,post,Los Angeles Sparks,Charlotte Sting,LAS,CHA,1486.80146480281,1527.28654686103,0.556622606584635,0.443377393415365,70,77,1473.26179166661,1540.82621999723,0
1997,1997-08-03,0,0,post,Las Vegas Aces,Charlotte Sting,LVA,CHA,1399.29710117582,1540.82621999723,0.412366707852611,0.587633292147389,73,70,1408.97198209598,1531.15133907708,0
1997,1997-08-03,0,0,post,Phoenix Mercury,Sacramento Monarchs,PHO,SAC,1504.36825919265,1368.90253251261,0.775619784085878,0.224380215914122,83,60,1514.05091189891,1359.21987980636,0
1997,1997-08-04,0,0,post,Cleveland Rockers,Houston Comets,CLE,HOU,1559.60008729577,1576.91061322648,0.589250928516413,0.410749071483587,66,76,1541.5741680829,1594.93653243935,0
1997,1997-08-04,0,0,post,New York Liberty,Los Angeles Sparks,NYL,LAS,1576.83339493282,1473.26179166661,0.742063826254176,0.257936173745824,50,67,1541.16033709827,1508.93484950115,0
1997,1997-08-05,0,0,post,Phoenix Mercury,Las Vegas Aces,PHO,LVA,1514.05091189891,1408.97198209598,0.743721131944165,0.256278868055835,78,46,1528.37603047379,1394.64686352109,0
1997,1997-08-05,0,0,post,Sacramento Monarchs,Charlotte Sting,SAC,CHA,1359.21987980636,1531.15133907708,0.370703490164393,0.629296509835607,77,64,1382.52352321656,1507.84769566687,0
1997,1997-08-06,0,0,post,Houston Comets,Phoenix Mercury,HOU,PHO,1594.93653243935,1528.37603047379,0.699237611197115,0.300762388802885,74,70,1599.70357449666,1523.60898841649,0
